Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,12,12,0,0,4,4
15-Mar-20,1,13,0,0,0,4
16-Mar-20,0,13,0,0,0,4
17-Mar-20,2,15,0,0,1,5
18-Mar-20,2,17,0,0,0,5
19-Mar-20,3,20,0,0,4,9
20-Mar-20,4,24,0,0,0,9
21-Mar-20,4,28,0,0,0,9
22-Mar-20,2,30,0,0,0,9
23-Mar-20,2,32,0,0,0,9
24-Mar-20,3,35,0,0,2,11
25-Mar-20,3,38,0,0,0,11
26-Mar-20,4,42,0,0,0,11
27-Mar-20,7,49,0,0,0,11
28-Mar-20,16,65,0,0,0,11
29-Mar-20,7,72,0,0,0,11
30-Mar-20,24,96,0,0,6,17
31-Mar-20,8,104,0,0,0,17
01-Apr-20,13,117,2,2,0,17
02-Apr-20,11,128,0,2,0,17
03-Apr-20,46,174,0,2,0,17
04-Apr-20,60,234,0,2,4,21
05-Apr-20,44,278,1,3,0,21
06-Apr-20,27,305,0,3,0,21
07-Apr-20,27,332,0,3,0,21
08-Apr-20,29,361,1,4,10,31
09-Apr-20,49,410,0,4,0,31
10-Apr-20,23,433,0,4,1,32
11-Apr-20,19,452,1,5,13,45
12-Apr-20,31,483,0,5,0,45
13-Apr-20,75,558,0,5,4,49
14-Apr-20,102,660,3,8,1,50
15-Apr-20,75,735,3,11,7,57
16-Apr-20,70,805,2,13,11,68
17-Apr-20,44,849,1,14,14,82
18-Apr-20,126,975,0,14,26,108
19-Apr-20,125,1100,3,17,19,127
20-Apr-20,84,1184,1,18,13,140
21-Apr-20,153,1337,3,21,22,162
22-Apr-20,112,1449,0,21,11,173
23-Apr-20,61,1510,3,24,33,206
24-Apr-20,111,1621,1,25,20,226
25-Apr-20,172,1793,2,27,35,261
26-Apr-20,80,1873,3,30,66,327
27-Apr-20,113,1986,1,31,72,399
28-Apr-20,67,2053,3,34,63,462
29-Apr-20,81,2134,5,39,48,510
30-Apr-20,77,2211,1,40,41,551
01-May-20,117,2328,2,42,103,654
02-May-20,159,2487,1,43,44,698
03-May-20,158,2645,0,43,56,754
04-May-20,121,2766,7,50,48,802
05-May-20,114,2880,6,56,185,987
06-May-20,118,2998,4,60,143,1130
07-May-20,73,3071,2,62,120,1250
08-May-20,143,3214,4,66,137,1387
09-May-20,159,3373,8,74,112,1499
10-May-20,94,3467,5,79,154,1653
11-May-20,106,3573,1,80,105,1758
12-May-20,91,3664,2,82,115,1873
13-May-20,94,3758,4,86,92,1965
14-May-20,144,3902,2,88,107,2072
15-May-20,155,4057,7,95,93,2165
