Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,10,0,0,0,0
15-Mar-20,0,10,0,0,4,4
16-Mar-20,0,10,0,0,0,4
17-Mar-20,0,10,0,0,0,4
18-Mar-20,0,10,0,0,0,4
19-Mar-20,0,10,0,0,0,4
20-Mar-20,0,10,0,0,1,5
21-Mar-20,0,10,0,0,0,5
22-Mar-20,0,10,0,0,0,5
23-Mar-20,0,10,0,0,0,5
24-Mar-20,0,10,0,0,0,5
25-Mar-20,0,10,0,0,0,5
26-Mar-20,0,10,0,0,0,5
27-Mar-20,0,10,0,0,0,5
28-Mar-20,0,10,0,0,0,5
29-Mar-20,0,10,0,0,0,5
30-Mar-20,1,11,0,0,0,5
31-Mar-20,0,11,0,0,0,5
01-Apr-20,1,12,0,0,0,5
02-Apr-20,5,17,0,0,0,5
03-Apr-20,3,20,0,0,0,5
04-Apr-20,24,44,0,0,0,5
05-Apr-20,3,47,0,0,0,5
06-Apr-20,2,49,0,0,0,5
07-Apr-20,13,62,0,0,0,5
08-Apr-20,2,64,0,0,0,5
09-Apr-20,19,83,0,0,0,5
10-Apr-20,5,88,0,0,0,5
11-Apr-20,4,92,0,0,0,5
12-Apr-20,12,104,0,0,0,5
13-Apr-20,35,139,0,0,0,5
14-Apr-20,4,143,0,0,0,5
15-Apr-20,15,158,0,0,0,5
16-Apr-20,9,167,0,0,0,5
17-Apr-20,5,172,0,0,0,5
18-Apr-20,27,199,0,0,0,5
19-Apr-20,43,242,0,0,0,5
