Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,0,0,0,0,0,0
01-Apr-20,1,1,0,0,0,0
02-Apr-20,2,3,0,0,0,0
03-Apr-20,2,5,0,0,0,0
04-Apr-20,0,5,0,0,0,0
05-Apr-20,0,5,0,0,0,0
06-Apr-20,0,5,0,0,0,0
07-Apr-20,3,8,0,0,0,0
08-Apr-20,0,8,0,0,0,0
09-Apr-20,0,8,0,0,0,0
10-Apr-20,1,9,0,0,0,0
11-Apr-20,0,9,0,0,0,0
12-Apr-20,0,9,0,0,0,0
13-Apr-20,5,14,0,0,0,0
14-Apr-20,0,14,0,0,0,0
15-Apr-20,2,16,0,0,0,0
16-Apr-20,0,16,0,0,0,0
17-Apr-20,0,16,0,0,0,0
18-Apr-20,0,16,0,0,0,0
19-Apr-20,3,19,0,0,0,0
20-Apr-20,0,19,0,0,0,0
21-Apr-20,1,20,1,1,0,0
22-Apr-20,0,20,0,1,0,0
23-Apr-20,0,20,0,1,0,0
24-Apr-20,3,23,0,1,0,0
25-Apr-20,0,23,0,1,0,0
26-Apr-20,0,23,0,1,5,5
27-Apr-20,0,23,0,1,8,13
28-Apr-20,0,23,0,1,0,13
29-Apr-20,0,23,0,1,0,13
30-Apr-20,0,23,0,1,0,13
01-May-20,2,25,0,1,0,13
02-May-20,7,32,0,1,0,13
03-May-20,0,32,0,1,0,13
04-May-20,0,32,0,1,0,13
05-May-20,0,32,0,1,0,13
06-May-20,4,36,0,1,7,20
07-May-20,0,36,0,1,0,20
08-May-20,0,36,0,1,4,24
09-May-20,1,37,0,1,0,24
10-May-20,1,38,0,1,0,24
11-May-20,3,41,0,1,0,24
12-May-20,0,41,0,1,0,24
13-May-20,0,41,0,1,0,24
14-May-20,5,46,0,1,0,24
15-May-20,0,46,0,1,0,24
