Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,1.0,1,0.0,0,0.0,0
31-Mar-20,0.0,1,0.0,0,0.0,0
01-Apr-20,2.0,3,0.0,0,0.0,0
02-Apr-20,0.0,3,0.0,0,0.0,0
03-Apr-20,0.0,3,0.0,0,0.0,0
04-Apr-20,0.0,3,0.0,0,0.0,0
05-Apr-20,0.0,3,0.0,0,0.0,0
06-Apr-20,0.0,3,0.0,0,0.0,0
07-Apr-20,2.0,5,0.0,0,0.0,0
08-Apr-20,3.0,8,0.0,0,0.0,0
09-Apr-20,0.0,8,0.0,0,0.0,0
10-Apr-20,0.0,8,0.0,0,0.0,0
11-Apr-20,3.0,11,0.0,0,0.0,0
12-Apr-20,0.0,11,0.0,0,0.0,0
13-Apr-20,0.0,11,0.0,0,0.0,0
14-Apr-20,0.0,11,0.0,0,0.0,0
15-Apr-20,1.0,12,0.0,0,0.0,0
16-Apr-20,0.0,12,0.0,0,0.0,0
17-Apr-20,2.0,14,0.0,0,0.0,0
18-Apr-20,1.0,15,0.0,0,0.0,0
19-Apr-20,0.0,15,0.0,0,0.0,0
20-Apr-20,0.0,15,0.0,0,0.0,0
21-Apr-20,6.0,21,1.0,1,2.0,2
22-Apr-20,1.0,22,0.0,1,0.0,2
23-Apr-20,0.0,22,0.0,1,0.0,2
24-Apr-20,5.0,27,0.0,1,0.0,2
25-Apr-20,11.0,38,0.0,1,0.0,2
26-Apr-20,0.0,38,0.0,1,3.0,5
27-Apr-20,12.0,50,0.0,1,4.0,9
28-Apr-20,0.0,50,0.0,1,0.0,9
29-Apr-20,0.0,50,0.0,1,0.0,9
30-Apr-20,1.0,51,0.0,1,0.0,9
01-May-20,0.0,51,0.0,1,3.0,12
02-May-20,3.0,54,0.0,1,1.0,13
03-May-20,1.0,55,0.0,1,0.0,13
04-May-20,0.0,55,0.0,1,0.0,13
05-May-20,1.0,56,0.0,1,8.0,21
06-May-20,1.0,57,0.0,1,0.0,21
07-May-20,0.0,57,0.0,1,0.0,21
08-May-20,4.0,61,0.0,1,12.0,33
09-May-20,0.0,61,0.0,1,0.0,33
10-May-20,8.0,69,0.0,1,10.0,43
11-May-20,5.0,74,0.0,1,8.0,51
12-May-20,1.0,75,0.0,1,3.0,54
13-May-20,0.0,75,0.0,1,2.0,56
14-May-20,2.0,77,0.0,1,0.0,56
15-May-20,4.0,81,0.0,1,0.0,56
