Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,0,0,0,0,0,0
01-Apr-20,0,0,0,0,0,0
02-Apr-20,0,0,0,0,0,0
03-Apr-20,4,4,0,0,0,0
04-Apr-20,0,4,0,0,0,0
05-Apr-20,0,4,0,0,0,0
06-Apr-20,0,4,0,0,0,0
07-Apr-20,3,7,0,0,0,0
08-Apr-20,0,7,0,0,0,0
09-Apr-20,4,11,0,0,0,0
10-Apr-20,0,11,0,0,0,0
11-Apr-20,0,11,0,0,0,0
12-Apr-20,4,15,0,0,0,0
13-Apr-20,4,19,0,0,0,0
14-Apr-20,0,19,0,0,0,0
15-Apr-20,6,25,0,0,0,0
16-Apr-20,2,27,0,0,0,0
17-Apr-20,0,27,0,0,0,0
18-Apr-20,11,38,0,0,0,0
19-Apr-20,10,48,0,0,0,0
20-Apr-20,0,48,0,0,0,0
21-Apr-20,11,59,1,1,3,3
22-Apr-20,6,65,0,1,0,3
23-Apr-20,1,66,0,1,0,3
24-Apr-20,9,75,0,1,0,3
25-Apr-20,8,83,0,1,0,3
26-Apr-20,0,83,0,1,0,3
27-Apr-20,17,100,0,1,0,3
28-Apr-20,0,100,0,1,0,3
29-Apr-20,0,100,0,1,0,3
30-Apr-20,11,111,1,2,7,10
01-May-20,13,124,0,2,13,23
02-May-20,13,137,0,2,10,33
03-May-20,10,147,0,2,7,40
04-May-20,11,158,0,2,0,40
05-May-20,7,165,1,3,1,41
06-May-20,12,177,0,3,7,48
07-May-20,1,178,0,3,12,60
08-May-20,6,184,1,4,17,77
09-May-20,7,191,0,4,0,77
10-May-20,3,194,0,4,6,83
11-May-20,0,194,0,4,6,89
12-May-20,0,194,0,4,10,99
13-May-20,0,194,0,4,12,111
14-May-20,0,194,0,4,8,119
15-May-20,2,196,0,4,0,119
