Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,2.0,2,0.0,0,0.0,0
18-Mar-20,1.0,3,0.0,0,0.0,0
19-Mar-20,1.0,4,0.0,0,0.0,0
20-Mar-20,0.0,4,0.0,0,0.0,0
21-Mar-20,2.0,6,0.0,0,0.0,0
22-Mar-20,2.0,8,0.0,0,0.0,0
23-Mar-20,0.0,8,0.0,0,0.0,0
24-Mar-20,1.0,9,0.0,0,0.0,0
25-Mar-20,2.0,11,0.0,0,0.0,0
26-Mar-20,3.0,14,0.0,0,0.0,0
27-Mar-20,3.0,17,0.0,0,0.0,0
28-Mar-20,10.0,27,0.0,0,0.0,0
29-Mar-20,4.0,31,0.0,0,0.0,0
30-Mar-20,7.0,38,0.0,0,0.0,0
31-Mar-20,2.0,40,0.0,0,0.0,0
01-Apr-20,8.0,48,0.0,0,0.0,0
02-Apr-20,0.0,48,0.0,0,0.0,0
03-Apr-20,2.0,50,0.0,0,0.0,0
04-Apr-20,8.0,58,0.0,0,0.0,0
05-Apr-20,0.0,58,0.0,0,0.0,0
06-Apr-20,0.0,58,0.0,0,0.0,0
07-Apr-20,0.0,58,0.0,0,0.0,0
08-Apr-20,0.0,58,0.0,0,0.0,0
09-Apr-20,3.0,61,0.0,0,0.0,0
10-Apr-20,1.0,62,0.0,0,0.0,0
11-Apr-20,0.0,62,0.0,0,0.0,0
12-Apr-20,0.0,62,0.0,0,0.0,0
13-Apr-20,4.0,66,0.0,0,0.0,0
14-Apr-20,16.0,82,0.0,0,0.0,0
15-Apr-20,0.0,82,0.0,0,0.0,0
16-Apr-20,10.0,92,0.0,0,0.0,0
17-Apr-20,0.0,92,0.0,0,0.0,0
18-Apr-20,3.0,95,0.0,0,0.0,0
19-Apr-20,0.0,95,0.0,0,0.0,0
20-Apr-20,0.0,95,0.0,0,0.0,0
21-Apr-20,7.0,102,0.0,0,43.0,43
22-Apr-20,1.0,103,0.0,0,1.0,44
23-Apr-20,0.0,103,0.0,0,10.0,54
24-Apr-20,9.0,112,0.0,0,2.0,56
25-Apr-20,1.0,113,0.0,0,3.0,59
26-Apr-20,4.0,117,0.0,0,12.0,71
27-Apr-20,16.0,133,0.0,0,0.0,71
28-Apr-20,1.0,134,0.0,0,8.0,79
29-Apr-20,0.0,134,0.0,0,0.0,79
30-Apr-20,7.0,141,0.0,0,9.0,88
01-May-20,13.0,154,0.0,0,2.0,90
02-May-20,5.0,159,0.0,0,4.0,94
03-May-20,9.0,168,0.0,0,7.0,101
04-May-20,12.0,180,0.0,0,0.0,101
05-May-20,13.0,193,0.0,0,8.0,109
06-May-20,0.0,193,0.0,0,2.0,111
07-May-20,0.0,193,0.0,0,0.0,111
08-May-20,18.0,211,1.0,1,10.0,121
09-May-20,15.0,226,1.0,2,0.0,121
10-May-20,-2.0,224,0.0,2,0.0,121
11-May-20,6.0,230,0.0,2,14.0,135
12-May-20,5.0,235,0.0,2,6.0,141
13-May-20,14.0,249,1.0,3,2.0,143
14-May-20,0.0,249,0.0,3,16.0,159
15-May-20,4.0,253,1.0,4,0.0,159
