Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,2,0.0,0,0.0,1
15-Mar-20,0.0,2,0.0,0,0.0,1
16-Mar-20,0.0,2,0.0,0,0.0,1
17-Mar-20,0.0,2,0.0,0,0.0,1
18-Mar-20,0.0,2,0.0,0,0.0,1
19-Mar-20,0.0,2,0.0,0,0.0,1
20-Mar-20,0.0,2,0.0,0,0.0,1
21-Mar-20,0.0,2,0.0,0,0.0,1
22-Mar-20,0.0,2,0.0,0,0.0,1
23-Mar-20,1.0,3,0.0,0,0.0,1
24-Mar-20,0.0,3,0.0,0,0.0,1
25-Mar-20,0.0,3,0.0,0,0.0,1
26-Mar-20,0.0,3,0.0,0,0.0,1
27-Mar-20,2.0,5,0.0,0,0.0,1
28-Mar-20,0.0,5,0.0,0,0.0,1
29-Mar-20,2.0,7,0.0,0,0.0,1
30-Mar-20,0.0,7,0.0,0,0.0,1
31-Mar-20,1.0,8,0.0,0,0.0,1
01-Apr-20,0.0,8,0.0,0,0.0,1
02-Apr-20,1.0,9,0.0,0,0.0,1
03-Apr-20,1.0,10,0.0,0,0.0,1
04-Apr-20,4.0,14,0.0,0,0.0,1
05-Apr-20,9.0,23,0.0,0,0.0,1
06-Apr-20,0.0,23,0.0,0,0.0,1
07-Apr-20,0.0,23,0.0,0,0.0,1
08-Apr-20,0.0,23,0.0,0,0.0,1
09-Apr-20,2.0,25,0.0,0,0.0,1
10-Apr-20,0.0,25,0.0,0,0.0,1
11-Apr-20,2.0,27,0.0,0,0.0,1
12-Apr-20,0.0,27,0.0,0,0.0,1
13-Apr-20,0.0,27,0.0,0,0.0,1
14-Apr-20,0.0,27,0.0,0,0.0,1
15-Apr-20,0.0,27,0.0,0,0.0,1
16-Apr-20,1.0,28,0.0,0,0.0,1
17-Apr-20,0.0,28,0.0,0,0.0,1
18-Apr-20,2.0,30,0.0,0,0.0,1
19-Apr-20,11.0,41,0.0,0,0.0,1
20-Apr-20,0.0,41,0.0,0,0.0,1
21-Apr-20,5.0,46,0.0,0,12.0,13
22-Apr-20,2.0,48,0.0,0,0.0,13
23-Apr-20,4.0,52,0.0,0,1.0,14
24-Apr-20,0.0,52,0.0,0,2.0,16
25-Apr-20,1.0,53,0.0,0,0.0,16
26-Apr-20,5.0,58,0.0,0,0.0,16
27-Apr-20,0.0,58,0.0,0,15.0,31
28-Apr-20,2.0,60,0.0,0,0.0,31
29-Apr-20,0.0,60,0.0,0,0.0,31
30-Apr-20,2.0,62,0.0,0,13.0,44
01-May-20,3.0,65,1.0,1,0.0,44
02-May-20,3.0,68,0.0,1,0.0,44
03-May-20,14.0,82,0.0,1,6.0,50
04-May-20,12.0,94,0.0,1,0.0,50
05-May-20,10.0,104,1.0,2,2.0,52
06-May-20,6.0,110,0.0,2,0.0,52
07-May-20,6.0,116,0.0,2,2.0,54
08-May-20,10.0,126,0.0,2,2.0,56
09-May-20,6.0,132,0.0,2,0.0,56
10-May-20,9.0,141,0.0,2,19.0,75
11-May-20,4.0,145,0.0,2,0.0,75
12-May-20,2.0,147,0.0,2,0.0,75
13-May-20,3.0,150,0.0,2,0.0,75
14-May-20,19.0,169,0.0,2,8.0,83
15-May-20,3.0,172,0.0,2,0.0,83
