Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,1.0,1,0.0,0,0.0,0
24-Mar-20,0.0,1,0.0,0,0.0,0
25-Mar-20,0.0,1,0.0,0,0.0,0
26-Mar-20,0.0,1,0.0,0,0.0,0
27-Mar-20,0.0,1,0.0,0,0.0,0
28-Mar-20,0.0,1,0.0,0,0.0,0
29-Mar-20,0.0,1,0.0,0,0.0,0
30-Mar-20,0.0,1,0.0,0,0.0,0
31-Mar-20,0.0,1,0.0,0,0.0,0
01-Apr-20,0.0,1,0.0,0,0.0,0
02-Apr-20,0.0,1,0.0,0,0.0,0
03-Apr-20,6.0,7,0.0,0,0.0,0
04-Apr-20,0.0,7,0.0,0,0.0,0
05-Apr-20,0.0,7,0.0,0,0.0,0
06-Apr-20,1.0,8,0.0,0,0.0,0
07-Apr-20,0.0,8,0.0,0,0.0,0
08-Apr-20,0.0,8,0.0,0,0.0,0
09-Apr-20,1.0,9,0.0,0,0.0,0
10-Apr-20,0.0,9,0.0,0,0.0,0
11-Apr-20,0.0,9,0.0,0,0.0,0
12-Apr-20,0.0,9,0.0,0,0.0,0
13-Apr-20,0.0,9,0.0,0,0.0,0
14-Apr-20,1.0,10,0.0,0,0.0,0
15-Apr-20,8.0,18,0.0,0,0.0,0
16-Apr-20,4.0,22,0.0,0,0.0,0
17-Apr-20,7.0,29,0.0,0,0.0,0
18-Apr-20,1.0,30,0.0,0,0.0,0
19-Apr-20,0.0,30,0.0,0,0.0,0
20-Apr-20,0.0,30,0.0,0,0.0,0
21-Apr-20,45.0,75,1.0,1,1.0,1
22-Apr-20,6.0,81,0.0,1,0.0,1
23-Apr-20,15.0,96,2.0,3,6.0,7
24-Apr-20,29.0,125,0.0,3,0.0,7
25-Apr-20,24.0,149,0.0,3,0.0,7
26-Apr-20,21.0,170,0.0,3,0.0,7
27-Apr-20,27.0,197,0.0,3,0.0,7
28-Apr-20,8.0,205,1.0,4,10.0,17
29-Apr-20,0.0,205,0.0,4,0.0,17
30-Apr-20,5.0,210,0.0,4,0.0,17
01-May-20,12.0,222,0.0,4,0.0,17
02-May-20,5.0,227,0.0,4,2.0,19
03-May-20,29.0,256,0.0,4,0.0,19
04-May-20,10.0,266,0.0,4,0.0,19
05-May-20,10.0,276,1.0,5,15.0,34
06-May-20,16.0,292,0.0,5,0.0,34
07-May-20,0.0,292,1.0,6,17.0,51
08-May-20,2.0,294,0.0,6,0.0,51
09-May-20,0.0,294,0.0,6,0.0,51
10-May-20,7.0,301,0.0,6,2.0,53
11-May-20,1.0,302,0.0,6,41.0,94
12-May-20,5.0,307,0.0,6,54.0,148
13-May-20,1.0,308,0.0,6,13.0,161
14-May-20,4.0,312,0.0,6,9.0,170
15-May-20,0.0,312,0.0,6,0.0,170
