Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,1,0,0,0,0
15-Mar-20,0,1,0,0,0,0
16-Mar-20,0,1,0,0,0,0
17-Mar-20,0,1,0,0,0,0
18-Mar-20,1,2,0,0,0,0
19-Mar-20,1,3,0,0,0,0
20-Mar-20,4,7,0,0,0,0
21-Mar-20,0,7,0,0,0,0
22-Mar-20,0,7,0,0,0,0
23-Mar-20,0,7,0,0,0,0
24-Mar-20,0,7,0,0,0,0
25-Mar-20,0,7,0,0,0,0
26-Mar-20,0,7,0,0,0,0
27-Mar-20,1,8,0,0,0,0
28-Mar-20,0,8,0,0,0,0
29-Mar-20,0,8,0,0,0,0
30-Mar-20,1,9,0,0,0,0
31-Mar-20,0,9,0,0,0,0
01-Apr-20,1,10,0,0,0,0
02-Apr-20,0,10,0,0,0,0
03-Apr-20,0,10,0,0,0,0
04-Apr-20,0,10,0,0,0,0
05-Apr-20,7,17,0,0,0,0
06-Apr-20,5,22,0,0,0,0
07-Apr-20,2,24,0,0,0,0
08-Apr-20,5,29,0,0,0,0
09-Apr-20,0,29,0,0,0,0
10-Apr-20,0,29,0,0,0,0
11-Apr-20,3,32,0,0,0,0
12-Apr-20,0,32,0,0,0,0
13-Apr-20,4,36,0,0,0,0
14-Apr-20,8,44,0,0,0,0
15-Apr-20,31,75,0,0,0,0
16-Apr-20,22,97,0,0,0,0
17-Apr-20,7,104,0,0,0,0
18-Apr-20,56,160,0,0,0,0
19-Apr-20,2,162,0,0,0,0
20-Apr-20,0,162,0,0,0,0
21-Apr-20,7,169,1,1,9,9
22-Apr-20,1,170,0,1,0,9
23-Apr-20,4,174,0,1,0,9
24-Apr-20,0,174,0,1,0,9
25-Apr-20,19,193,0,1,20,29
26-Apr-20,1,194,0,1,1,30
27-Apr-20,2,196,0,1,7,37
28-Apr-20,5,201,0,1,3,40
29-Apr-20,0,201,0,1,0,40
30-Apr-20,5,206,0,1,22,62
01-May-20,8,214,0,1,7,69
02-May-20,8,222,0,1,0,69
03-May-20,4,226,0,1,0,69
04-May-20,0,226,0,1,0,69
05-May-20,5,231,0,1,2,71
06-May-20,0,231,0,1,90,161
07-May-20,6,237,0,1,0,161
08-May-20,10,247,0,1,4,165
09-May-20,3,250,0,1,0,165
10-May-20,0,250,0,1,14,179
11-May-20,0,250,0,1,23,202
12-May-20,0,250,0,1,9,211
13-May-20,14,264,0,1,0,211
14-May-20,7,271,0,1,0,211
15-May-20,5,276,0,1,0,211
