Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,5.0,5,0.0,0,0.0,0
29-Mar-20,0.0,5,0.0,0,0.0,0
30-Mar-20,14.0,19,0.0,0,0.0,0
31-Mar-20,0.0,19,0.0,0,0.0,0
01-Apr-20,0.0,19,0.0,0,0.0,0
02-Apr-20,1.0,20,0.0,0,0.0,0
03-Apr-20,5.0,25,0.0,0,0.0,0
04-Apr-20,0.0,25,0.0,0,0.0,0
05-Apr-20,8.0,33,0.0,0,0.0,0
06-Apr-20,0.0,33,0.0,0,0.0,0
07-Apr-20,0.0,33,0.0,0,0.0,0
08-Apr-20,2.0,35,0.0,0,0.0,0
09-Apr-20,3.0,38,0.0,0,0.0,0
10-Apr-20,6.0,44,0.0,0,0.0,0
11-Apr-20,4.0,48,0.0,0,0.0,0
12-Apr-20,3.0,51,0.0,0,0.0,0
13-Apr-20,5.0,56,0.0,0,0.0,0
14-Apr-20,5.0,61,0.0,0,0.0,0
15-Apr-20,4.0,65,0.0,0,0.0,0
16-Apr-20,4.0,69,0.0,0,0.0,0
17-Apr-20,0.0,69,0.0,0,0.0,0
18-Apr-20,1.0,70,0.0,0,0.0,0
19-Apr-20,4.0,74,0.0,0,0.0,0
20-Apr-20,0.0,74,0.0,0,0.0,0
21-Apr-20,7.0,81,3.0,3,17.0,17
22-Apr-20,1.0,82,0.0,3,0.0,17
23-Apr-20,3.0,85,0.0,3,14.0,31
24-Apr-20,1.0,86,0.0,3,2.0,33
25-Apr-20,3.0,89,1.0,4,3.0,36
26-Apr-20,0.0,89,1.0,5,0.0,36
27-Apr-20,3.0,92,0.0,5,10.0,46
28-Apr-20,2.0,94,0.0,5,0.0,46
29-Apr-20,0.0,94,0.0,5,0.0,46
30-Apr-20,8.0,102,0.0,5,3.0,49
01-May-20,3.0,105,0.0,5,3.0,52
02-May-20,8.0,113,1.0,6,1.0,53
03-May-20,1.0,114,0.0,6,0.0,53
04-May-20,25.0,139,0.0,6,0.0,53
05-May-20,24.0,163,1.0,7,2.0,55
06-May-20,11.0,174,1.0,8,0.0,55
07-May-20,10.0,184,1.0,9,10.0,65
08-May-20,12.0,196,1.0,10,0.0,65
09-May-20,24.0,220,1.0,11,0.0,65
10-May-20,22.0,242,2.0,13,0.0,65
11-May-20,13.0,255,0.0,13,1.0,66
12-May-20,12.0,267,1.0,14,4.0,70
13-May-20,7.0,274,0.0,14,2.0,72
14-May-20,12.0,286,1.0,15,9.0,81
15-May-20,9.0,295,1.0,16,0.0,81
