Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,1.0,1,0.0,0,0.0,0
22-Mar-20,0.0,1,0.0,0,0.0,0
23-Mar-20,0.0,1,0.0,0,0.0,0
24-Mar-20,0.0,1,0.0,0,0.0,0
25-Mar-20,0.0,1,0.0,0,0.0,0
26-Mar-20,0.0,1,0.0,0,0.0,0
27-Mar-20,0.0,1,0.0,0,0.0,0
28-Mar-20,0.0,1,0.0,0,0.0,0
29-Mar-20,0.0,1,0.0,0,0.0,0
30-Mar-20,0.0,1,0.0,0,0.0,0
31-Mar-20,0.0,1,0.0,0,0.0,0
01-Apr-20,0.0,1,0.0,0,0.0,0
02-Apr-20,0.0,1,0.0,0,0.0,0
03-Apr-20,0.0,1,0.0,0,0.0,0
04-Apr-20,0.0,1,0.0,0,0.0,0
05-Apr-20,0.0,1,0.0,0,0.0,0
06-Apr-20,0.0,1,0.0,0,0.0,0
07-Apr-20,0.0,1,0.0,0,0.0,0
08-Apr-20,0.0,1,0.0,0,0.0,0
09-Apr-20,0.0,1,0.0,0,0.0,0
10-Apr-20,0.0,1,0.0,0,0.0,0
11-Apr-20,0.0,1,0.0,0,0.0,0
12-Apr-20,1.0,2,0.0,0,0.0,0
13-Apr-20,0.0,2,0.0,0,0.0,0
14-Apr-20,17.0,19,0.0,0,0.0,0
15-Apr-20,2.0,21,0.0,0,0.0,0
16-Apr-20,0.0,21,0.0,0,0.0,0
17-Apr-20,12.0,33,0.0,0,0.0,0
18-Apr-20,6.0,39,0.0,0,0.0,0
19-Apr-20,18.0,57,0.0,0,0.0,0
20-Apr-20,0.0,57,0.0,0,0.0,0
21-Apr-20,16.0,73,5.0,5,1.0,1
22-Apr-20,21.0,94,0.0,5,0.0,1
23-Apr-20,3.0,97,0.0,5,0.0,1
24-Apr-20,7.0,104,0.0,5,0.0,1
25-Apr-20,-3.0,101,1.0,6,0.0,1
26-Apr-20,0.0,101,0.0,6,0.0,1
27-Apr-20,3.0,104,0.0,6,2.0,3
28-Apr-20,5.0,109,0.0,6,5.0,8
29-Apr-20,0.0,109,0.0,6,0.0,8
30-Apr-20,1.0,110,0.0,6,0.0,8
01-May-20,0.0,110,1.0,7,33.0,41
02-May-20,3.0,113,0.0,7,4.0,45
03-May-20,2.0,115,0.0,7,6.0,51
04-May-20,1.0,116,0.0,7,0.0,51
05-May-20,0.0,116,0.0,7,1.0,52
06-May-20,0.0,116,0.0,7,13.0,65
07-May-20,1.0,117,0.0,7,10.0,75
08-May-20,3.0,120,0.0,7,0.0,75
09-May-20,6.0,126,0.0,7,0.0,75
10-May-20,0.0,126,0.0,7,15.0,90
11-May-20,0.0,126,0.0,7,0.0,90
12-May-20,2.0,128,0.0,7,0.0,90
13-May-20,7.0,135,2.0,9,0.0,90
14-May-20,16.0,151,0.0,9,8.0,98
15-May-20,0.0,151,1.0,10,0.0,98
