Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,0,0,0,0,0,0
01-Apr-20,0,0,0,0,0,0
02-Apr-20,0,0,0,0,0,0
03-Apr-20,12,12,0,0,0,0
04-Apr-20,1,13,0,0,0,0
05-Apr-20,0,13,0,0,0,0
06-Apr-20,0,13,0,0,0,0
07-Apr-20,0,13,0,0,0,0
08-Apr-20,1,14,0,0,0,0
09-Apr-20,6,20,0,0,0,0
10-Apr-20,0,20,0,0,0,0
11-Apr-20,1,21,0,0,0,0
12-Apr-20,7,28,0,0,0,0
13-Apr-20,11,39,0,0,0,0
14-Apr-20,14,53,0,0,0,0
15-Apr-20,0,53,0,0,0,0
16-Apr-20,0,53,0,0,0,0
17-Apr-20,0,53,0,0,0,0
18-Apr-20,0,53,0,0,0,0
19-Apr-20,19,72,0,0,0,0
20-Apr-20,0,72,0,0,0,0
21-Apr-20,0,72,0,0,0,0
22-Apr-20,26,98,0,0,0,0
23-Apr-20,0,98,0,0,0,0
24-Apr-20,25,123,0,0,0,0
25-Apr-20,37,160,0,0,9,9
26-Apr-20,21,181,0,0,1,10
27-Apr-20,0,181,0,0,0,10
28-Apr-20,0,181,0,0,1,11
29-Apr-20,0,181,0,0,0,11
30-Apr-20,6,187,0,0,2,13
01-May-20,5,192,0,0,3,16
02-May-20,10,202,0,0,0,16
03-May-20,0,202,0,0,13,29
04-May-20,3,205,0,0,0,29
05-May-20,0,205,0,0,50,79
06-May-20,0,205,0,0,0,79
07-May-20,0,205,0,0,33,112
08-May-20,0,205,0,0,15,127
09-May-20,0,205,0,0,0,127
10-May-20,0,205,0,0,0,127
11-May-20,0,205,0,0,23,150
12-May-20,0,205,0,0,9,159
13-May-20,0,205,0,0,0,159
14-May-20,3,208,0,0,0,159
15-May-20,1,209,0,0,0,159
