Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,1,1,0,0,1,1
18-Mar-20,0,1,0,0,0,1
19-Mar-20,0,1,0,0,0,1
20-Mar-20,1,2,0,0,0,1
21-Mar-20,2,4,0,0,1,2
22-Mar-20,3,7,0,0,1,3
23-Mar-20,0,7,1,1,0,3
24-Mar-20,2,9,0,1,0,3
25-Mar-20,0,9,0,1,0,3
26-Mar-20,1,10,0,1,0,3
27-Mar-20,5,15,0,1,0,3
28-Mar-20,3,18,1,2,0,3
29-Mar-20,3,21,0,2,0,3
30-Mar-20,1,22,0,2,0,3
31-Mar-20,15,37,1,3,0,3
01-Apr-20,0,37,0,3,0,3
02-Apr-20,16,53,0,3,0,3
03-Apr-20,0,53,0,3,0,3
04-Apr-20,0,53,0,3,0,3
05-Apr-20,27,80,0,3,0,3
06-Apr-20,0,80,0,3,0,3
07-Apr-20,11,91,0,3,0,3
08-Apr-20,8,99,0,3,0,3
09-Apr-20,4,103,0,3,0,3
10-Apr-20,13,116,0,3,0,3
11-Apr-20,10,126,0,3,0,3
12-Apr-20,8,134,0,3,0,3
13-Apr-20,18,152,0,3,0,3
14-Apr-20,38,190,0,3,0,3
15-Apr-20,23,213,0,3,0,3
16-Apr-20,18,231,0,3,0,3
17-Apr-20,24,255,0,3,0,3
18-Apr-20,32,287,0,3,0,3
