Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,1,1,1,1,0,0
01-Apr-20,0,1,0,1,0,0
02-Apr-20,0,1,0,1,0,0
03-Apr-20,0,1,0,1,0,0
04-Apr-20,0,1,0,1,0,0
05-Apr-20,0,1,0,1,0,0
06-Apr-20,0,1,0,1,0,0
07-Apr-20,0,1,0,1,0,0
08-Apr-20,0,1,0,1,0,0
09-Apr-20,0,1,0,1,0,0
10-Apr-20,0,1,0,1,0,0
11-Apr-20,0,1,0,1,0,0
12-Apr-20,0,1,0,1,0,0
13-Apr-20,0,1,0,1,0,0
14-Apr-20,0,1,0,1,0,0
15-Apr-20,0,1,0,1,0,0
16-Apr-20,0,1,0,1,0,0
17-Apr-20,0,1,0,1,0,0
18-Apr-20,0,1,0,1,0,0
19-Apr-20,0,1,0,1,0,0
20-Apr-20,0,1,0,1,0,0
21-Apr-20,0,1,0,1,0,0
22-Apr-20,78,79,0,1,0,0
23-Apr-20,0,79,0,1,0,0
24-Apr-20,0,79,0,1,0,0
25-Apr-20,0,79,0,1,0,0
26-Apr-20,0,79,0,1,0,0
27-Apr-20,0,79,0,1,0,0
28-Apr-20,0,79,0,1,0,0
29-Apr-20,0,79,0,1,0,0
30-Apr-20,0,79,0,1,0,0
01-May-20,0,79,0,1,0,0
02-May-20,0,79,0,1,0,0
03-May-20,0,79,0,1,0,0
04-May-20,162,241,16,17,20,20
05-May-20,24,265,1,18,2,22
06-May-20,24,289,1,19,0,22
07-May-20,35,324,0,19,1,23
08-May-20,38,362,1,20,1,24
09-May-20,8,370,0,20,5,29
10-May-20,47,417,2,22,31,60
11-May-20,23,440,0,22,19,79
12-May-20,37,477,1,23,51,130
13-May-20,7,484,2,25,4,134
14-May-20,25,509,2,27,1,135
15-May-20,27,536,2,29,2,137
