Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,1.0,1,0.0,0,1.0,1
18-Mar-20,0.0,1,0.0,0,0.0,1
19-Mar-20,0.0,1,0.0,0,0.0,1
20-Mar-20,1.0,2,0.0,0,0.0,1
21-Mar-20,1.0,3,0.0,0,0.0,1
22-Mar-20,3.0,6,0.0,0,1.0,2
23-Mar-20,0.0,6,1.0,1,0.0,2
24-Mar-20,2.0,8,0.0,1,0.0,2
25-Mar-20,0.0,8,0.0,1,0.0,2
26-Mar-20,1.0,9,0.0,1,0.0,2
27-Mar-20,0.0,9,0.0,1,0.0,2
28-Mar-20,0.0,9,0.0,1,0.0,2
29-Mar-20,1.0,10,0.0,1,0.0,2
30-Mar-20,1.0,11,0.0,1,0.0,2
31-Mar-20,0.0,11,0.0,1,0.0,2
01-Apr-20,0.0,11,0.0,1,0.0,2
02-Apr-20,0.0,11,0.0,1,0.0,2
03-Apr-20,0.0,11,0.0,1,0.0,2
04-Apr-20,0.0,11,0.0,1,0.0,2
05-Apr-20,0.0,11,0.0,1,0.0,2
06-Apr-20,0.0,11,0.0,1,0.0,2
07-Apr-20,0.0,11,0.0,1,0.0,2
08-Apr-20,0.0,11,0.0,1,0.0,2
09-Apr-20,0.0,11,0.0,1,0.0,2
10-Apr-20,0.0,11,0.0,1,0.0,2
11-Apr-20,0.0,11,0.0,1,0.0,2
12-Apr-20,0.0,11,0.0,1,0.0,2
13-Apr-20,0.0,11,0.0,1,0.0,2
14-Apr-20,0.0,11,0.0,1,0.0,2
15-Apr-20,0.0,11,0.0,1,0.0,2
16-Apr-20,0.0,11,0.0,1,0.0,2
17-Apr-20,0.0,11,0.0,1,0.0,2
18-Apr-20,0.0,11,0.0,1,0.0,2
19-Apr-20,0.0,11,0.0,1,0.0,2
20-Apr-20,0.0,11,0.0,1,0.0,2
21-Apr-20,0.0,11,-1.0,0,-2.0,0
22-Apr-20,173.0,184,0.0,0,0.0,0
23-Apr-20,0.0,184,0.0,0,0.0,0
24-Apr-20,0.0,184,0.0,0,0.0,0
25-Apr-20,0.0,184,0.0,0,0.0,0
26-Apr-20,0.0,184,0.0,0,0.0,0
27-Apr-20,0.0,184,0.0,0,0.0,0
28-Apr-20,0.0,184,0.0,0,0.0,0
29-Apr-20,0.0,184,0.0,0,0.0,0
30-Apr-20,0.0,184,0.0,0,0.0,0
01-May-20,0.0,184,0.0,0,0.0,0
02-May-20,0.0,184,0.0,0,0.0,0
03-May-20,0.0,184,0.0,0,0.0,0
04-May-20,475.0,659,87.0,87,109.0,109
05-May-20,41.0,700,5.0,92,27.0,136
06-May-20,54.0,754,2.0,94,0.0,136
07-May-20,29.0,783,5.0,99,13.0,149
08-May-20,63.0,846,8.0,107,18.0,167
09-May-20,65.0,911,9.0,116,32.0,199
10-May-20,37.0,948,10.0,126,9.0,208
11-May-20,54.0,1002,3.0,129,44.0,252
12-May-20,39.0,1041,6.0,135,40.0,292
13-May-20,85.0,1126,5.0,140,49.0,341
14-May-20,31.0,1157,6.0,146,45.0,386
15-May-20,43.0,1200,5.0,151,40.0,426
