Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,1,1,0,0,1,1
22-Mar-20,0,1,0,0,0,1
23-Mar-20,0,1,0,0,0,1
24-Mar-20,0,1,0,0,0,1
25-Mar-20,0,1,0,0,0,1
26-Mar-20,0,1,0,0,0,1
27-Mar-20,0,1,0,0,0,1
28-Mar-20,0,1,0,0,0,1
29-Mar-20,1,2,0,0,0,1
30-Mar-20,0,2,0,0,0,1
31-Mar-20,2,4,0,0,0,1
01-Apr-20,0,4,0,0,0,1
02-Apr-20,0,4,0,0,0,1
03-Apr-20,0,4,0,0,0,1
04-Apr-20,0,4,0,0,0,1
05-Apr-20,0,4,0,0,0,1
06-Apr-20,0,4,0,0,0,1
07-Apr-20,0,4,0,0,0,1
08-Apr-20,0,4,0,0,0,1
09-Apr-20,0,4,0,0,0,1
10-Apr-20,0,4,0,0,0,1
11-Apr-20,0,4,0,0,0,1
12-Apr-20,0,4,0,0,0,1
13-Apr-20,0,4,0,0,0,1
14-Apr-20,0,4,0,0,0,1
15-Apr-20,0,4,0,0,0,1
16-Apr-20,0,4,0,0,0,1
17-Apr-20,0,4,0,0,0,1
18-Apr-20,0,4,0,0,0,1
19-Apr-20,0,4,0,0,0,1
20-Apr-20,0,4,0,0,0,1
21-Apr-20,0,4,0,0,0,1
22-Apr-20,43,47,0,0,0,1
23-Apr-20,0,47,0,0,0,1
24-Apr-20,0,47,0,0,0,1
25-Apr-20,0,47,0,0,0,1
26-Apr-20,0,47,0,0,0,1
27-Apr-20,0,47,0,0,0,1
28-Apr-20,0,47,0,0,0,1
29-Apr-20,0,47,0,0,0,1
30-Apr-20,0,47,0,0,0,1
01-May-20,0,47,0,0,0,1
02-May-20,0,47,0,0,0,1
03-May-20,0,47,0,0,0,1
04-May-20,131,178,18,18,35,36
05-May-20,9,187,0,18,2,38
06-May-20,15,202,1,19,0,38
07-May-20,18,220,2,21,10,48
08-May-20,12,232,0,21,1,49
09-May-20,11,243,2,23,6,55
10-May-20,8,251,2,25,2,57
11-May-20,22,273,2,27,11,68
12-May-20,15,288,1,28,11,79
13-May-20,13,301,1,29,15,94
14-May-20,16,317,0,29,8,102
15-May-20,4,321,3,32,12,114
